lemmas,label
reduce runoff,other
reduce supply reliability,other
reduce canopy size,other
reduce density,other
reduce fossil fuel dependence,other
realization,integrated assessment modeling
reallocation,integrated assessment modeling
reallocation water,integrated assessment modeling
reason concern,integrated assessment modeling
reassessment,integrated assessment modeling
rebound effect,integrated assessment modeling
recent heavy rainfall,integrated assessment modeling
recent literature,integrated assessment modeling
recent past,integrated assessment modeling
